,Player,Share,Year,predictions,Rk,Predicted_Rk,Diff
6189,Moses Malone,0.735,1982,0.18568136109406516,1,2,-1
701,Larry Bird,0.588,1982,0.1922910173323086,2,1,1
13366,Julius Erving,0.294,1982,0.15416191551284025,3,5,-2
704,Robert Parish,0.19,1982,0.16501457979194809,4,4,0
16653,Gus Williams,0.167,1982,0.11206425607210137,5,13,-8
13382,Moses Malone,0.96,1983,0.2069796963421644,1,1,0
712,Larry Bird,0.485,1983,0.17307033240640302,2,2,0
8189,Magic Johnson,0.406,1983,0.1649612750617081,3,4,-1
9835,Sidney Moncrief,0.301,1983,0.08795879520771982,4,15,-11
13378,Julius Erving,0.149,1983,0.11733425358223204,5,7,-2
726,Larry Bird,0.858,1984,0.18492703402374389,1,2,-1
11907,Bernard King,0.491,1984,0.01173900306377229,2,92,-90
8204,Magic Johnson,0.401,1984,0.16626733931938675,3,3,0
8201,Kareem Abdul-Jabbar,0.201,1984,0.06486479324834127,4,18,-14
4861,Isiah Thomas,0.151,1984,0.06851089921988063,5,14,-9
737,Larry Bird,0.978,1985,0.21029835252072937,1,1,0
8218,Magic Johnson,0.338,1985,0.17479257531482256,2,3,-1
13406,Moses Malone,0.279,1985,0.1841676229333089,3,2,1
8215,Kareem Abdul-Jabbar,0.264,1985,0.09346192080124605,4,10,-6
9862,Terry Cummings,0.177,1985,0.09137102825297194,5,12,-7
751,Larry Bird,0.981,1986,0.253593599205598,1,1,0
73,Dominique Wilkins,0.522,1986,0.1225226649045783,2,5,-3
8230,Magic Johnson,0.263,1986,0.1887286962219079,3,2,1
6235,Hakeem Olajuwon,0.247,1986,0.09670970459599326,4,8,-4
8227,Kareem Abdul-Jabbar,0.173,1986,0.07233733979350565,5,20,-15
8244,Magic Johnson,0.94,1987,0.21015343662447106,1,2,-1
2191,Michael Jordan,0.576,1987,0.1736516923825253,2,4,-2
768,Larry Bird,0.347,1987,0.28099065896219133,3,1,2
767,Kevin McHale,0.326,1987,0.12726797735163586,4,8,-4
86,Dominique Wilkins,0.164,1987,0.12337940721142848,5,9,-4
2202,Michael Jordan,0.831,1988,0.19295010106002963,1,2,-1
782,Larry Bird,0.659,1988,0.2625489864135082,2,1,1
8256,Magic Johnson,0.635,1988,0.17823597030019567,3,3,0
13446,Charles Barkley,0.136,1988,0.1525480657798739,4,4,0
14790,Clyde Drexler,0.108,1988,0.12734439087713367,5,6,-1
8270,Magic Johnson,0.782,1989,0.2615348138939133,1,2,-1
2217,Michael Jordan,0.704,1989,0.2647896881862235,2,1,1
17628,Karl Malone,0.426,1989,0.1254668374791803,3,7,-4
11989,Patrick Ewing,0.235,1989,0.093828655006021,4,16,-12
6278,Hakeem Olajuwon,0.211,1989,0.13808669749613411,5,4,1
8282,Magic Johnson,0.691,1990,0.24316469515812678,1,2,-1
13473,Charles Barkley,0.667,1990,0.14561272442974937,2,8,-6
2230,Michael Jordan,0.613,1990,0.2470155926451203,3,1,2
17641,Karl Malone,0.233,1990,0.1848391045245137,4,4,0
12004,Patrick Ewing,0.176,1990,0.15351242473067783,5,7,-2
2241,Michael Jordan,0.928,1991,0.20910772632311048,1,2,-1
8296,Magic Johnson,0.518,1991,0.2207938678335979,2,1,1
16098,David Robinson,0.496,1991,0.18450785813470327,3,4,-1
13489,Charles Barkley,0.231,1991,0.16614395742780408,4,6,-2
17654,Karl Malone,0.148,1991,0.16632577413980165,5,5,0
2254,Michael Jordan,0.938,1992,0.18293701776320637,1,1,0
14845,Clyde Drexler,0.584,1992,0.13027352735423436,2,6,-4
16111,David Robinson,0.351,1992,0.1591437483242415,3,2,1
17670,Karl Malone,0.273,1992,0.14916769144435937,4,3,1
12032,Patrick Ewing,0.104,1992,0.11149091069189554,5,11,-6
14204,Charles Barkley,0.852,1993,0.18580657629840536,1,3,-2
6328,Hakeem Olajuwon,0.66,1993,0.18796722857670733,2,2,0
2267,Michael Jordan,0.577,1993,0.19746140421505642,3,1,2
12045,Patrick Ewing,0.366,1993,0.11080510344487315,4,7,-3
171,Dominique Wilkins,0.055,1993,0.12626815856628149,5,6,-1
6344,Hakeem Olajuwon,0.88,1994,0.1653832040489689,1,2,-1
16143,David Robinson,0.723,1994,0.19842395545687075,2,1,1
2286,Scottie Pippen,0.386,1994,0.12289069660295904,3,5,-2
12871,Shaquille O'Neal,0.286,1994,0.11369194718560793,4,7,-3
12060,Patrick Ewing,0.252,1994,0.1308077513785022,5,3,2
16157,David Robinson,0.858,1995,0.2046363548458301,1,1,0
12886,Shaquille O'Neal,0.576,1995,0.11603799774490109,2,6,-4
17716,Karl Malone,0.507,1995,0.16216523498425173,3,3,0
12074,Patrick Ewing,0.219,1995,0.13916940992144622,4,5,-1
6360,Hakeem Olajuwon,0.14,1995,0.17445150250630337,5,2,3
2314,Michael Jordan,0.986,1996,0.1791752364394772,1,2,-1
16173,David Robinson,0.508,1996,0.19281057794105183,2,1,1
12888,Anfernee Hardaway,0.319,1996,0.10026297153842156,3,12,-9
6375,Hakeem Olajuwon,0.211,1996,0.1643389781998661,4,3,1
2317,Scottie Pippen,0.2,1996,0.07214700591975642,5,18,-13
17742,Karl Malone,0.857,1997,0.18118366065028213,1,1,0
2328,Michael Jordan,0.832,1997,0.16550135240184893,2,2,0
5043,Grant Hill,0.327,1997,0.1355640231790578,3,3,0
9342,Tim Hardaway,0.207,1997,0.07924994933055851,4,14,-10
1848,Glen Rice,0.117,1997,0.0378006888958462,5,48,-43
2342,Michael Jordan,0.934,1998,0.1293481128255225,1,4,-3
17755,Karl Malone,0.726,1998,0.17732921691478598,2,1,1
16870,Gary Payton,0.372,1998,0.0769296915133515,3,11,-8
8400,Shaquille O'Neal,0.268,1998,0.1340012349512727,4,3,1
16208,Tim Duncan,0.128,1998,0.09561200836403727,5,7,-2
17768,Karl Malone,0.701,1999,0.12850867873037997,1,1,0
9361,Alonzo Mourning,0.655,1999,0.07475787555939739,2,10,-8
16224,Tim Duncan,0.627,1999,0.07981343956823217,3,9,-6
13611,Allen Iverson,0.27,1999,0.06176896201508009,4,15,-11
14296,Jason Kidd,0.135,1999,0.07394481770673367,5,11,-6
8427,Shaquille O'Neal,0.998,2000,0.18414200037131967,1,1,0
10627,Kevin Garnett,0.337,2000,0.12730866709063915,2,3,-1
9378,Alonzo Mourning,0.303,2000,0.11353373984876303,3,7,-4
17780,Karl Malone,0.258,2000,0.15290815999935758,4,2,2
16239,Tim Duncan,0.205,2000,0.12064770531189128,5,5,0
13642,Allen Iverson,0.904,2001,0.11279021742708628,1,6,-5
16254,Tim Duncan,0.569,2001,0.1170279977797668,2,5,-3
8442,Shaquille O'Neal,0.466,2001,0.18474251725674562,3,1,2
15571,Chris Webber,0.42,2001,0.13543037621208986,4,2,2
10639,Kevin Garnett,0.122,2001,0.12674302177234864,5,4,1
16268,Tim Duncan,0.757,2002,0.1524261177800399,1,2,-1
11328,Jason Kidd,0.712,2002,0.0611036153576312,2,17,-15
8457,Shaquille O'Neal,0.552,2002,0.16824888346951972,3,1,2
12994,Tracy McGrady,0.31,2002,0.12879267457133947,4,4,0
8449,Kobe Bryant,0.078,2002,0.09507101612031055,5,10,-5
16281,Tim Duncan,0.808,2003,0.1551787994037841,1,4,-3
10670,Kevin Garnett,0.732,2003,0.1658919459897671,2,1,1
8464,Kobe Bryant,0.417,2003,0.13493807917821177,3,6,-3
13010,Tracy McGrady,0.359,2003,0.15542544221713062,4,3,1
8469,Shaquille O'Neal,0.106,2003,0.164597441004388,5,2,3
10684,Kevin Garnett,0.991,2004,0.19599013970360435,1,1,0
16298,Tim Duncan,0.582,2004,0.16252834882776956,2,2,0
7164,Jermaine O'Neal,0.425,2004,0.09816714919981673,3,5,-2
15619,Peja Stojaković,0.228,2004,0.0495688798465167,4,23,-19
8483,Kobe Bryant,0.172,2004,0.0902331333128572,5,7,-2
14388,Steve Nash,0.839,2005,0.052404640157998617,1,32,-31
9469,Shaquille O'Neal,0.813,2005,0.1440097126364548,2,4,-2
3810,Dirk Nowitzki,0.275,2005,0.1558286633394681,3,2,1
16313,Tim Duncan,0.258,2005,0.14521422134075113,4,3,1
13705,Allen Iverson,0.189,2005,0.10542851178776669,5,8,-3
14406,Steve Nash,0.739,2006,0.07004692016755176,1,20,-19
3138,LeBron James,0.55,2006,0.1766081441368707,2,1,1
3825,Dirk Nowitzki,0.435,2006,0.14124542082307256,3,4,-1
8510,Kobe Bryant,0.386,2006,0.14247698477985515,4,3,1
