,Player,Pts Won,Pts Max,Share,Year
0,Julius Erving,454.0,690,0.658,1981
1,Larry Bird,423.0,690,0.613,1981
2,Kareem Abdul-Jabbar,286.0,690,0.414,1981
3,Moses Malone,180.0,690,0.261,1981
4,George Gervin,83.0,690,0.12,1981
5,Marques Johnson,73.0,690,0.106,1981
6,Robert Parish,53.0,690,0.077,1981
7,Dennis Johnson,50.0,690,0.072,1981
8,Tiny Archibald,32.0,690,0.046,1981
9,Jamaal Wilkes,19.0,690,0.028,1981
10,Magic Johnson,18.0,690,0.026,1981
11,Adrian Dantley,15.0,690,0.022,1981
12,Phil Ford,15.0,690,0.022,1981
13,Bernard King,12.0,690,0.017,1981
14,Kelvin Ransey,11.0,690,0.016,1981
15,Jack Sikma,11.0,690,0.016,1981
16,Otis Birdsong,7.0,690,0.01,1981
17,Michael Ray Richardson,7.0,690,0.01,1981
18,Truck Robinson,6.0,690,0.009,1981
19,Reggie Theus,6.0,690,0.009,1981
20,Norm Nixon,5.0,690,0.007,1981
21,Artis Gilmore,4.0,690,0.006,1981
22,Bob Lanier,4.0,690,0.006,1981
23,Michael Cooper,3.0,690,0.004,1981
24,Walter Davis,3.0,690,0.004,1981
25,George Johnson,3.0,690,0.004,1981
26,Bobby Jones,3.0,690,0.004,1981
27,Mike Mitchell,3.0,690,0.004,1981
28,James Silas,3.0,690,0.004,1981
29,Quinn Buckner,1.0,690,0.001,1981
30,Caldwell Jones,1.0,690,0.001,1981
31,Moses Malone,507.0,690,0.735,1982
32,Larry Bird,406.0,690,0.588,1982
33,Julius Erving,203.0,690,0.294,1982
34,Robert Parish,131.0,690,0.19,1982
35,Gus Williams,115.0,690,0.167,1982
36,George Gervin,110.0,690,0.159,1982
37,Sidney Moncrief,101.0,690,0.146,1982
38,Magic Johnson,67.0,690,0.097,1982
39,Jack Sikma,33.0,690,0.048,1982
40,Kareem Abdul-Jabbar,31.0,690,0.045,1982
41,Dan Roundfield,14.0,690,0.02,1982
42,Kelly Tripucka,14.0,690,0.02,1982
43,Alex English,12.0,690,0.017,1982
44,Bernard King,10.0,690,0.014,1982
45,Adrian Dantley,7.0,690,0.01,1982
46,Ray Williams,6.0,690,0.009,1982
47,Michael Cooper,3.0,690,0.004,1982
48,Dan Issel,3.0,690,0.004,1982
49,Marques Johnson,3.0,690,0.004,1982
50,Isiah Thomas,3.0,690,0.004,1982
51,Dennis Johnson,1.0,690,0.001,1982
52,Mychal Thompson,1.0,690,0.001,1982
53,Jay Vincent,1.0,690,0.001,1982
54,Jamaal Wilkes,1.0,690,0.001,1982
55,Buck Williams,1.0,690,0.001,1982
56,Moses Malone,720.0,750,0.96,1983
57,Larry Bird,364.0,750,0.485,1983
58,Magic Johnson,304.5,750,0.406,1983
59,Sidney Moncrief,226.0,750,0.301,1983
60,Julius Erving,112.0,750,0.149,1983
61,Alex English,42.0,750,0.056,1983
62,Buck Williams,40.0,750,0.053,1983
63,Artis Gilmore,33.0,750,0.044,1983
64,George Gervin,30.0,750,0.04,1983
65,Kareem Abdul-Jabbar,15.0,750,0.02,1983
66,Jack Sikma,13.0,750,0.017,1983
67,Jeff Ruland,12.0,750,0.016,1983
68,Terry Cummings,10.0,750,0.013,1983
69,Maurice Lucas,9.0,750,0.012,1983
70,Alton Lister,5.0,750,0.007,1983
71,Bernard King,4.0,750,0.005,1983
72,Isiah Thomas,4.0,750,0.005,1983
73,Larry Drew,3.0,750,0.004,1983
74,Gus Williams,3.0,750,0.004,1983
75,Dan Roundfield,2.0,750,0.003,1983
76,Marques Johnson,1.5,750,0.002,1983
77,Norm Nixon,1.0,750,0.001,1983
78,Kiki Vandeweghe,1.0,750,0.001,1983
79,Larry Bird,652.0,760,0.858,1984
80,Bernard King,373.0,760,0.491,1984
81,Magic Johnson,305.0,760,0.401,1984
82,Kareem Abdul-Jabbar,153.0,760,0.201,1984
83,Isiah Thomas,115.0,760,0.151,1984
84,Julius Erving,98.0,760,0.129,1984
85,Adrian Dantley,88.0,760,0.116,1984
86,Sidney Moncrief,70.0,760,0.092,1984
87,Jeff Ruland,38.0,760,0.05,1984
88,Moses Malone,35.0,760,0.046,1984
89,Mark Aguirre,28.0,760,0.037,1984
90,Bill Laimbeer,9.0,760,0.012,1984
91,Rickey Green,8.0,760,0.011,1984
92,World B. Free,1.0,760,0.001,1984
93,Marques Johnson,1.0,760,0.001,1984
94,Larry Bird,763.0,780,0.978,1985
95,Magic Johnson,264.0,780,0.338,1985
96,Moses Malone,218.0,780,0.279,1985
97,Kareem Abdul-Jabbar,206.0,780,0.264,1985
98,Terry Cummings,138.0,780,0.177,1985
99,Michael Jordan,134.0,780,0.172,1985
100,Bernard King,70.0,780,0.09,1985
101,Sidney Moncrief,65.0,780,0.083,1985
102,Isiah Thomas,63.0,780,0.081,1985
103,Ralph Sampson,26.0,780,0.033,1985
104,Calvin Natt,22.0,780,0.028,1985
105,Alex English,12.0,780,0.015,1985
106,Hakeem Olajuwon,12.0,780,0.015,1985
107,Michael Ray Richardson,11.0,780,0.014,1985
108,Andrew Toney,5.0,780,0.006,1985
109,Mark Eaton,4.0,780,0.005,1985
110,Paul Pressey,3.0,780,0.004,1985
111,Jack Sikma,3.0,780,0.004,1985
112,Dominique Wilkins,3.0,780,0.004,1985
113,World B. Free,2.0,780,0.003,1985
114,Purvis Short,2.0,780,0.003,1985
115,Clyde Drexler,1.0,780,0.001,1985
116,Julius Erving,1.0,780,0.001,1985
